Index	Wastewater Treatment Plant	County	Date	Population Served	Viral Gene Copies Per Person	Viral Gene Copies/L
43	Albemarle (CDC Contract)	Stanly	12/14/2022	20,000	681,212,317	1,228,381
44	Albemarle (CDC Contract)	Stanly	12/12/2022	20,000	702,447,706	1,117,877
45	Albemarle (CDC Contract)	Stanly	12/7/2022	20,000	469,537,068	716,988
46	Albemarle (CDC Contract)	Stanly	12/5/2022	20,000	735,250,234	1,191,615
47	Albemarle (CDC Contract)	Stanly	11/30/2022	20,000	730,837,768	1,066,671
48	Albemarle (CDC Contract)	Stanly	11/28/2022	20,000	534,694,013	448,418
49	Albemarle (CDC Contract)	Stanly	11/22/2022	20,000	508,159,242	1,048,765
50	Albemarle (CDC Contract)	Stanly	11/16/2022	20,000	384,597,393	608,384
51	Albemarle (CDC Contract)	Stanly	11/14/2022	20,000	476,215,330	1,006,425
52	Albemarle (CDC Contract)	Stanly	11/9/2022	20,000	384,758,644	819,700
53	Albemarle (CDC Contract)	Stanly	11/7/2022	20,000	610,292,231	1,203,154
54	Albemarle (CDC Contract)	Stanly	11/2/2022	20,000	216,651,020	370,442
55	Albemarle (CDC Contract)	Stanly	10/31/2022	20,000	298,507,246	769,342
56	Albemarle (CDC Contract)	Stanly	10/26/2022	20,000	276,643,682	664,380
57	Albemarle (CDC Contract)	Stanly	10/24/2022	20,000	207,685,127	540,540
58	Albemarle (CDC Contract)	Stanly	10/19/2022	20,000	134,169,274	337,561
59	Albemarle (CDC Contract)	Stanly	10/17/2022	20,000	105,876,377	294,418
60	Albemarle (CDC Contract)	Stanly	10/12/2022	20,000	189,069,534	456,137
61	Albemarle (CDC Contract)	Stanly	10/10/2022	20,000	180,333,383	462,516
62	Albemarle (CDC Contract)	Stanly	10/5/2022	20,000	313,063,665	692,075
63	Albemarle (CDC Contract)	Stanly	10/3/2022	20,000	473,743,732	872,127
64	Albemarle (CDC Contract)	Stanly	9/28/2022	20,000	304,288,653	784,242
65	Albemarle (CDC Contract)	Stanly	9/26/2022	20,000	319,994,337	832,846
66	Albemarle (CDC Contract)	Stanly	9/14/2022	20,000	623,650,898	855,853
67	Albemarle (CDC Contract)	Stanly	9/12/2022	20,000	821,937,358	991,477
68	Albemarle (CDC Contract)	Stanly	9/7/2022	20,000	570,525,969	633,267
69	Albemarle (CDC Contract)	Stanly	8/31/2022	20,000	839,483,616	1,945,340
70	Albemarle (CDC Contract)	Stanly	8/29/2022	20,000	510,925,925	1,356,510
71	Albemarle (CDC Contract)	Stanly	8/24/2022	20,000	337,478,179	710,379
72	Albemarle (CDC Contract)	Stanly	8/22/2022	20,000	872,657,296	1,309,843
73	Albemarle (CDC Contract)	Stanly	8/17/2022	20,000	592,861,593	1,344,360
74	Albemarle (CDC Contract)	Stanly	8/15/2022	20,000	479,978,788	1,274,345
75	Albemarle (CDC Contract)	Stanly	8/10/2022	20,000	906,204,146	1,779,885
76	Albemarle (CDC Contract)	Stanly	8/8/2022	20,000	921,698,921	2,046,116
77	Albemarle (CDC Contract)	Stanly	8/3/2022	20,000	1,219,879,144	2,708,059
78	Albemarle (CDC Contract)	Stanly	8/1/2022	20,000	1,447,498,925	3,226,919
79	Albemarle (CDC Contract)	Stanly	7/27/2022	20,000	1,100,709,251	1,958,098
80	Albemarle (CDC Contract)	Stanly	7/25/2022	20,000	763,041,426	1,866,434
81	Albemarle (CDC Contract)	Stanly	7/18/2022	20,000	776,458,933	1,634,417
82	Albemarle (CDC Contract)	Stanly	7/13/2022	20,000	1,028,586,736	1,631,980
83	Albemarle (CDC Contract)	Stanly	7/11/2022	20,000	1,385,983,850	1,028,481
84	Albemarle (CDC Contract)	Stanly	7/6/2022	20,000	1,285,125,477	2,829,127
85	Albemarle (CDC Contract)	Stanly	6/29/2022	20,000	269,263,743	615,863
86	Albemarle (CDC Contract)	Stanly	6/27/2022	20,000	707,759,993	1,755,596
87	Albemarle (CDC Contract)	Stanly	6/22/2022	20,000	1,940,317,872	4,858,572
88	Albemarle (CDC Contract)	Stanly	6/20/2022	20,000	888,227,496	2,358,247
89	Cary 1	Wake	5/16/2023	84,189	3,523,157	10,778
90	Cary 1	Wake	5/11/2023	84,189	4,535,281	14,597
91	Cary 1	Wake	5/9/2023	84,189	5,502,407	17,532
92	Cary 1	Wake	5/4/2023	84,189	6,544,489	19,776
93	Cary 1	Wake	5/2/2023	84,189	4,000,413	10,837
94	Cary 1	Wake	4/27/2023	84,189	4,405,609	13,998
95	Cary 1	Wake	4/25/2023	84,189	6,476,052	20,004
96	Cary 1	Wake	4/20/2023	84,189	7,894,450	24,251
97	Cary 1	Wake	4/18/2023	84,189	11,866,022	34,633
98	Cary 1	Wake	4/13/2023	84,189	19,381,765	60,798
99	Cary 1	Wake	4/11/2023	84,189	14,873,021	39,998
100	Cary 1	Wake	4/6/2023	84,189	5,583,395	18,701
101	Cary 1	Wake	4/4/2023	84,189	4,624,452	15,015
102	Cary 1	Wake	3/30/2023	84,189	26,842,597	80,893
103	Cary 1	Wake	3/28/2023	84,189	22,880,229	68,213
104	Cary 1	Wake	3/23/2023	84,189	19,692,552	65,174
105	Cary 1	Wake	3/21/2023	84,189	7,584,139	24,410
106	Cary 1	Wake	3/16/2023	84,189	11,872,559	38,158
107	Cary 1	Wake	3/14/2023	84,189	10,586,194	32,120
108	Cary 1	Wake	3/9/2023	84,189	11,343,617	35,938
109	Cary 1	Wake	3/7/2023	84,189	11,846,462	38,074
110	Cary 1	Wake	3/2/2023	84,189	8,004,488	25,913
111	Cary 1	Wake	2/28/2023	84,189	13,874,666	45,446
112	Cary 1	Wake	2/23/2023	84,189	7,961,018	25,512
113	Cary 1	Wake	2/21/2023	84,189	6,677,068	20,740
114	Cary 1	Wake	2/16/2023	84,189	10,761,029	34,337
115	Cary 1	Wake	2/14/2023	84,189	14,186,096	39,537
116	Cary 1	Wake	2/9/2023	84,189	21,795,037	71,494
117	Cary 1	Wake	2/7/2023	84,189	37,927,819	120,161
118	Cary 1	Wake	2/2/2023	84,189	40,793,244	116,915
119	Cary 1	Wake	1/31/2023	84,189	39,170,513	117,726
120	Cary 1	Wake	1/26/2023	84,189	20,532,570	59,460
121	Cary 1	Wake	1/24/2023	84,189	20,436,574	61,009
122	Cary 1	Wake	1/19/2023	84,189	34,110,101	110,265
123	Cary 1	Wake	1/17/2023	84,189	18,986,718	59,559
124	Cary 1	Wake	1/12/2023	84,189	16,827,495	56,110
125	Cary 1	Wake	1/10/2023	84,189	14,837,394	49,033
126	Cary 1	Wake	1/5/2023	84,189	34,351,208	103,102
127	Cary 1	Wake	1/3/2023	84,189	98,668,697	315,746
128	Cary 1	Wake	12/30/2022	84,189	55,553,742	186,920
129	Cary 1	Wake	12/28/2022	84,189	31,315,474	102,272
130	Cary 1	Wake	12/22/2022	84,189	34,145,350	113,176
131	Cary 1	Wake	12/20/2022	84,189	20,173,777	61,127
132	Cary 1	Wake	12/15/2022	84,189	18,840,032	59,519
133	Cary 1	Wake	12/13/2022	84,189	27,654,580	92,211
134	Cary 1	Wake	12/8/2022	84,189	19,924,425	64,502
135	Cary 1	Wake	12/6/2022	84,189	15,840,188	53,216
136	Cary 1	Wake	12/1/2022	84,189	36,377,181	103,857
137	Cary 1	Wake	11/29/2022	84,189	15,595,070	48,920
138	Cary 1	Wake	11/24/2022	84,189	10,303,621	35,694
139	Cary 1	Wake	11/22/2022	84,189	8,159,418	27,790
140	Cary 1	Wake	11/17/2022	84,189	5,891,924	20,160
141	Cary 1	Wake	11/15/2022	84,189	7,326,210	24,763
142	Cary 1	Wake	11/10/2022	84,189	8,392,986	29,442
143	Cary 1	Wake	11/8/2022	84,189	10,070,795	34,672
144	Cary 1	Wake	11/3/2022	84,189	6,999,309	24,247
145	Cary 1	Wake	11/1/2022	84,189	7,679,613	25,723
146	Cary 1	Wake	10/27/2022	84,189	9,870,653	34,846
147	Cary 1	Wake	10/25/2022	84,189	8,073,168	27,581
148	Cary 1	Wake	10/20/2022	84,189	5,964,333	20,989
149	Cary 1	Wake	10/18/2022	84,189	4,431,162	15,544
150	Cary 1	Wake	10/13/2022	84,189	7,175,626	24,897
151	Cary 1	Wake	10/11/2022	84,189	34,608,125	115,919
152	Cary 1	Wake	10/6/2022	84,189	33,404,166	116,996
153	Cary 1	Wake	10/4/2022	84,189	8,296,507	25,276
154	Cary 1	Wake	9/29/2022	84,189	11,748,089	38,424
155	Cary 1	Wake	9/27/2022	84,189	328,234,197	1,124,819
156	Cary 1	Wake	9/22/2022	84,189	11,589,403	39,172
157	Cary 1	Wake	9/20/2022	84,189	10,893,676	37,563
158	Cary 1	Wake	9/15/2022	84,189	12,815,888	43,784
159	Cary 1	Wake	9/13/2022	84,189	17,990,762	58,842
160	Cary 1	Wake	9/9/2022	84,189	12,639,473	41,461
161	Cary 1	Wake	9/7/2022	84,189	10,233,232	34,071
162	Cary 1	Wake	9/1/2022	84,189	15,493,205	52,367
163	Cary 1	Wake	8/30/2022	84,189	14,717,351	49,896
164	Cary 1	Wake	8/25/2022	84,189	17,697,682	61,214
165	Cary 1	Wake	8/23/2022	84,189	11,377,560	37,543
166	Cary 1	Wake	8/18/2022	84,189	18,905,635	61,743
167	Cary 1	Wake	8/16/2022	84,189	17,272,271	57,506
168	Cary 1	Wake	8/11/2022	84,189	21,339,741	71,693
169	Cary 1	Wake	8/9/2022	84,189	28,472,657	94,093
170	Cary 1	Wake	8/4/2022	84,189	25,190,876	83,496
171	Cary 1	Wake	8/2/2022	84,189	23,603,599	75,642
172	Cary 1	Wake	7/28/2022	84,189	48,201,624	132,186
173	Cary 1	Wake	7/26/2022	84,189	14,207,388	46,742
174	Cary 1	Wake	7/21/2022	84,189	47,709,184	141,288
175	Cary 1	Wake	7/19/2022	84,189	25,088,744	82,787
176	Cary 1	Wake	7/14/2022	84,189	24,504,515	82,700
177	Cary 1	Wake	7/12/2022	84,189	31,785,470	96,706
178	Cary 1	Wake	7/8/2022	84,189	22,088,282	72,243
179	Cary 1	Wake	7/6/2022	84,189	25,399,358	86,907
180	Cary 1	Wake	6/30/2022	84,189	24,985,223	82,080
181	Cary 1	Wake	6/28/2022	84,189	25,181,259	83,464
182	Cary 1	Wake	6/23/2022	84,189	28,119,308	94,899
183	Cary 1	Wake	6/21/2022	84,189	13,045,707	43,048
184	Cary 1	Wake	6/16/2022	84,189	24,697,709	81,861
185	Cary 1	Wake	6/14/2022	84,189	36,465,529	118,916
186	Cary 1	Wake	6/9/2022	84,189	33,377,529	105,745
187	Cary 1	Wake	6/7/2022	84,189	25,466,083	84,157
188	Cary 1	Wake	6/2/2022	84,189	37,406,389	120,745
189	Cary 1	Wake	5/31/2022	84,189	30,896,095	95,437
190	Cary 1	Wake	5/26/2022	84,189	11,218,272	35,491
191	Cary 1	Wake	5/24/2022	84,189	27,231,850	72,707
192	Cary 1	Wake	5/19/2022	84,189	41,893,904	138,858
193	Cary 1	Wake	5/17/2022	84,189	24,733,220	71,906
194	Cary 1	Wake	5/12/2022	84,189	21,603,252	71,604
195	Cary 1	Wake	5/10/2022	84,189	10,817,213	35,276
196	Cary 1	Wake	5/5/2022	84,189	13,387,050	44,571
197	Cary 1	Wake	5/3/2022	84,189	43,249,042	123,476
198	Cary 1	Wake	4/28/2022	84,189	18,294,371	57,795
199	Cary 1	Wake	4/26/2022	84,189	11,787,572	35,237
200	Cary 1	Wake	4/21/2022	84,189	15,414,867	46,581
201	Cary 1	Wake	4/19/2022	84,189	4,928,211	13,033
202	Cary 1	Wake	4/14/2022	84,189	2,263,004	7,423
203	Cary 1	Wake	4/12/2022	84,189	1,412,676	4,620
204	Cary 1	Wake	4/7/2022	84,189	2,272,299	6,980
205	Cary 1	Wake	4/5/2022	84,189	1,654,954	5,273
206	Cary 1	Wake	3/31/2022	84,189	3,685,025	11,809
207	Cary 1	Wake	3/29/2022	84,189	1,393,582	4,466
208	Cary 1	Wake	3/24/2022	84,189	3,470,924	10,796
209	Cary 1	Wake	3/22/2022	84,189	1,126,752	3,136
210	Cary 1	Wake	3/17/2022	84,189	1,466,230	3,972
211	Cary 1	Wake	3/15/2022	84,189	2,456,775	7,404
212	Cary 1	Wake	3/10/2022	84,189	3,871,725	11,451
213	Cary 1	Wake	3/8/2022	84,189	3,243,508	10,232
214	Cary 1	Wake	3/3/2022	84,189	1,140,269	3,842
215	Cary 1	Wake	3/1/2022	84,189	972,583	3,144
216	Cary 1	Wake	2/24/2022	84,189	2,319,525	7,509
217	Cary 1	Wake	2/22/2022	84,189	1,690,721	5,379
218	Cary 1	Wake	2/17/2022	84,189	5,978,804	20,301
219	Cary 1	Wake	2/15/2022	84,189	2,931,973	12,374
220	Cary 1	Wake	2/10/2022	84,189	7,077,476	22,583
221	Cary 1	Wake	2/8/2022	84,189	7,401,748	28,198
222	Cary 1	Wake	2/3/2022	84,189	9,298,417	31,098
223	Cary 1	Wake	2/1/2022	84,189	7,471,092	24,987
224	Cary 1	Wake	1/27/2022	84,189	16,663,357	52,867
225	Cary 1	Wake	1/25/2022	84,189	31,122,579	96,944
226	Cary 1	Wake	1/21/2022	84,189	22,147,659	65,328
227	Cary 1	Wake	1/19/2022	84,189	23,625,971	71,685
228	Cary 1	Wake	1/13/2022	84,189	59,063,627	191,795
229	Cary 1	Wake	1/11/2022	84,189	42,914,133	132,855
230	Cary 1	Wake	1/6/2022	84,189	78,498,993	230,324
231	Cary 1	Wake	1/4/2022	84,189	123,482,459	231,560
232	Cary 1	Wake	12/30/2021	84,189	30,391,337	104,469
233	Cary 1	Wake	12/29/2021	84,189	29,539,844	98,943
234	Cary 1	Wake	12/21/2021	84,189	7,644,989	24,785
235	Cary 1	Wake	12/16/2021	84,189	5,444,612	18,572
236	Cary 1	Wake	12/14/2021	84,189	5,088,755	16,842
237	Cary 1	Wake	12/9/2021	84,189	3,166,686	9,428
238	Cary 1	Wake	12/7/2021	84,189	5,707,407	18,917
239	Cary 1	Wake	12/2/2021	84,189	2,471,590	8,444
240	Cary 1	Wake	11/30/2021	84,189	6,276,183	20,896
241	Cary 1	Wake	11/23/2021	84,189	2,483,500	10,030
242	Cary 1	Wake	11/18/2021	84,189	1,078,436	4,642
243	Cary 1	Wake	11/16/2021	84,189	1,216,465	4,062
244	Cary 2	Wake	5/16/2023	74,331	2,618,380	9,993
245	Cary 2	Wake	5/11/2023	74,331	6,139,518	23,260
246	Cary 2	Wake	5/9/2023	74,331	3,896,555	14,353
247	Cary 2	Wake	5/4/2023	74,331	4,187,921	13,552
248	Cary 2	Wake	5/2/2023	74,331	10,210,249	26,004
249	Cary 2	Wake	4/27/2023	74,331	2,167,068	7,611
250	Cary 2	Wake	4/25/2023	74,331	8,967,092	31,044
251	Cary 2	Wake	4/20/2023	74,331	5,438,659	19,347
252	Cary 2	Wake	4/18/2023	74,331	5,436,940	17,585
253	Cary 2	Wake	4/13/2023	74,331	6,092,170	20,625
254	Cary 2	Wake	4/11/2023	74,331	3,862,821	10,836
255	Cary 2	Wake	4/6/2023	74,331	4,518,496	17,299
256	Cary 2	Wake	4/4/2023	74,331	7,786,779	28,575
257	Cary 2	Wake	3/30/2023	74,331	79,577,428	244,577
258	Cary 2	Wake	3/28/2023	74,331	10,919,954	35,250
259	Cary 2	Wake	3/23/2023	74,331	7,696,169	27,318
260	Cary 2	Wake	3/21/2023	74,331	4,723,814	16,844
261	Cary 2	Wake	3/16/2023	74,331	5,678,574	19,792
262	Cary 2	Wake	3/14/2023	74,331	8,228,561	26,406
263	Cary 2	Wake	3/9/2023	74,331	11,447,989	40,761
264	Cary 2	Wake	3/7/2023	74,331	16,998,282	59,743
265	Cary 2	Wake	3/2/2023	74,331	12,961,951	46,429
266	Cary 2	Wake	2/28/2023	74,331	12,794,606	45,260
267	Cary 2	Wake	2/23/2023	74,331	18,564,385	66,339
268	Cary 2	Wake	2/21/2023	74,331	9,077,509	31,426
269	Cary 2	Wake	2/16/2023	74,331	10,905,880	36,846
270	Cary 2	Wake	2/14/2023	74,331	18,989,049	53,651
271	Cary 2	Wake	2/9/2023	74,331	23,893,557	83,812
272	Cary 2	Wake	2/7/2023	74,331	41,761,378	142,739
273	Cary 2	Wake	2/2/2023	74,331	20,760,649	64,708
274	Cary 2	Wake	1/31/2023	74,331	36,289,440	115,661
275	Cary 2	Wake	1/26/2023	74,331	33,123,690	105,043
276	Cary 2	Wake	1/24/2023	74,331	22,870,733	68,220
277	Cary 2	Wake	1/19/2023	74,331	33,328,881	121,262
278	Cary 2	Wake	1/17/2023	74,331	21,951,827	78,875
279	Cary 2	Wake	1/12/2023	74,331	30,595,717	112,003
280	Cary 2	Wake	1/10/2023	74,331	18,281,451	64,821
281	Cary 2	Wake	1/5/2023	74,331	38,987,926	130,266
282	Cary 2	Wake	1/3/2023	74,331	167,110,000	574,075
283	Cary 2	Wake	12/29/2022	74,331	47,960,781	171,231
284	Cary 2	Wake	12/27/2022	74,331	52,132,051	179,592
285	Cary 2	Wake	12/22/2022	74,331	63,459,205	226,399
286	Cary 2	Wake	12/20/2022	74,331	25,250,949	90,299
287	Cary 2	Wake	12/15/2022	74,331	37,205,729	134,372
288	Cary 2	Wake	12/13/2022	74,331	19,508,497	71,629
289	Cary 2	Wake	12/8/2022	74,331	24,497,568	87,240
290	Cary 2	Wake	12/6/2022	74,331	12,273,326	44,688
291	Cary 2	Wake	12/1/2022	74,331	27,859,683	88,235
292	Cary 2	Wake	11/29/2022	74,331	13,287,225	45,638
293	Cary 2	Wake	11/24/2022	74,331	17,475,575	69,789
294	Cary 2	Wake	11/22/2022	74,331	28,623,776	109,971
295	Cary 2	Wake	11/17/2022	74,331	5,491,939	20,347
296	Cary 2	Wake	11/15/2022	74,331	6,810,850	26,405
297	Cary 2	Wake	11/10/2022	74,331	17,489,253	68,384
298	Cary 2	Wake	11/8/2022	74,331	4,838,830	18,935
299	Cary 2	Wake	11/3/2022	74,331	7,138,649	25,487
300	Cary 2	Wake	11/1/2022	74,331	9,656,857	35,846
301	Cary 2	Wake	10/27/2022	74,331	13,531,558	49,205
302	Cary 2	Wake	10/25/2022	74,331	7,283,058	27,678
303	Cary 2	Wake	10/20/2022	74,331	6,305,069	23,645
304	Cary 2	Wake	10/18/2022	74,331	4,377,911	16,399
305	Cary 2	Wake	10/13/2022	74,331	6,557,815	24,735
306	Cary 2	Wake	10/11/2022	74,331	44,595,476	151,555
307	Cary 2	Wake	10/6/2022	74,331	32,243,737	123,879
308	Cary 2	Wake	10/4/2022	74,331	5,272,537	19,830
309	Cary 2	Wake	9/29/2022	74,331	9,973,219	39,967
310	Cary 2	Wake	9/27/2022	74,331	18,563,387	77,556
311	Cary 2	Wake	9/22/2022	74,331	22,184,401	89,431
312	Cary 2	Wake	9/20/2022	74,331	8,313,363	33,520
313	Cary 2	Wake	9/15/2022	74,331	32,667,880	116,230
314	Cary 2	Wake	9/13/2022	74,331	18,331,503	69,250
315	Cary 2	Wake	9/9/2022	74,331	18,041,288	72,299
316	Cary 2	Wake	9/7/2022	74,331	9,002,195	36,342
317	Cary 2	Wake	9/1/2022	74,331	15,880,702	64,939
318	Cary 2	Wake	8/30/2022	74,331	11,456,988	45,931
319	Cary 2	Wake	8/25/2022	74,331	21,112,520	82,749
320	Cary 2	Wake	8/23/2022	74,331	20,684,692	75,651
321	Cary 2	Wake	8/18/2022	74,331	17,946,096	71,741
322	Cary 2	Wake	8/16/2022	74,331	18,853,718	72,083
323	Cary 2	Wake	8/11/2022	74,331	25,390,977	101,441
324	Cary 2	Wake	8/9/2022	74,331	21,050,305	87,778
325	Cary 2	Wake	8/4/2022	74,331	23,053,971	96,318
326	Cary 2	Wake	8/2/2022	74,331	23,222,582	88,510
327	Cary 2	Wake	7/28/2022	74,331	27,463,625	117,799
328	Cary 2	Wake	7/26/2022	74,331	25,023,831	98,491
329	Cary 2	Wake	7/21/2022	74,331	21,817,874	104,954
330	Cary 2	Wake	7/19/2022	74,331	41,219,515	173,059
331	Cary 2	Wake	7/14/2022	74,331	17,977,983	71,418
332	Cary 2	Wake	7/12/2022	74,331	28,602,000	113,028
333	Cary 2	Wake	7/8/2022	74,331	34,589,344	147,878
334	Cary 2	Wake	7/6/2022	74,331	26,914,512	116,667
335	Cary 2	Wake	6/30/2022	74,331	23,517,021	89,947
336	Cary 2	Wake	6/28/2022	74,331	19,850,715	78,698
337	Cary 2	Wake	6/23/2022	74,331	23,458,413	96,026
338	Cary 2	Wake	6/21/2022	74,331	18,726,210	75,135
339	Cary 2	Wake	6/16/2022	74,331	20,067,855	79,287
340	Cary 2	Wake	6/14/2022	74,331	28,574,741	114,510
341	Cary 2	Wake	6/9/2022	74,331	30,246,081	110,250
342	Cary 2	Wake	6/7/2022	74,331	22,822,644	89,166
343	Cary 2	Wake	6/2/2022	74,331	23,492,960	89,315
344	Cary 2	Wake	5/31/2022	74,331	23,899,594	91,126
345	Cary 2	Wake	5/26/2022	74,331	22,997,184	77,885
346	Cary 2	Wake	5/24/2022	74,331	26,773,937	88,583
347	Cary 2	Wake	5/19/2022	74,331	59,258,008	224,504
348	Cary 2	Wake	5/17/2022	74,331	16,601,757	58,475
349	Cary 2	Wake	5/12/2022	74,331	17,645,394	66,530
350	Cary 2	Wake	5/10/2022	74,331	13,541,239	49,803
351	Cary 2	Wake	5/5/2022	74,331	18,221,366	68,967
352	Cary 2	Wake	5/3/2022	74,331	18,399,520	69,095
353	Cary 2	Wake	4/28/2022	74,331	28,597,802	105,081
354	Cary 2	Wake	4/26/2022	74,331	13,352,857	50,510
355	Cary 2	Wake	4/21/2022	74,331	22,810,302	78,636
356	Cary 2	Wake	4/19/2022	74,331	8,256,712	24,066
357	Cary 2	Wake	4/14/2022	74,331	8,080,711	29,939
358	Cary 2	Wake	4/12/2022	74,331	8,383,722	30,486
359	Cary 2	Wake	4/7/2022	74,331	9,064,776	29,247
360	Cary 2	Wake	4/5/2022	74,331	3,360,454	11,146
361	Cary 2	Wake	3/31/2022	74,331	1,279,765	4,332
362	Cary 2	Wake	3/29/2022	74,331	2,303,691	7,874
363	Cary 2	Wake	3/24/2022	74,331	1,377,241	4,560
364	Cary 2	Wake	3/22/2022	74,331	2,837,925	9,565
365	Cary 2	Wake	3/17/2022	74,331	966,972	3,203
366	Cary 2	Wake	3/15/2022	74,331	772,764	2,624
367	Cary 2	Wake	3/10/2022	74,331	2,043,816	7,030
368	Cary 2	Wake	3/8/2022	74,331	3,110,765	11,718
369	Cary 2	Wake	3/3/2022	74,331	3,011,845	11,138
370	Cary 2	Wake	3/1/2022	74,331	6,283,856	22,562
371	Cary 2	Wake	2/24/2022	74,331	4,016,901	13,502
372	Cary 2	Wake	2/22/2022	74,331	2,768,290	10,121
373	Cary 2	Wake	2/17/2022	74,331	7,164,905	26,546
374	Cary 2	Wake	2/10/2022	74,331	6,776,605	23,775
375	Cary 2	Wake	2/8/2022	74,331	24,788,259	68,077
376	Cary 2	Wake	2/3/2022	74,331	20,902,924	69,865
377	Cary 2	Wake	2/1/2022	74,331	17,967,753	67,448
378	Cary 2	Wake	1/27/2022	74,331	14,612,581	50,508
379	Cary 2	Wake	1/25/2022	74,331	22,173,680	73,685
380	Cary 2	Wake	1/21/2022	74,331	36,837,721	122,602
381	Cary 2	Wake	1/19/2022	74,331	37,809,641	125,794
382	Cary 2	Wake	1/13/2022	74,331	68,744,021	245,432
383	Cary 2	Wake	1/11/2022	74,331	41,866,391	137,936
384	Cary 2	Wake	1/6/2022	74,331	57,160,039	186,477
385	Cary 2	Wake	1/4/2022	74,331	98,514,570	161,622
386	Cary 2	Wake	12/30/2021	74,331	38,154,501	149,842
387	Cary 2	Wake	12/28/2021	74,331	40,845,307	160,410
388	Cary 2	Wake	12/21/2021	74,331	11,881,191	42,288
389	Cary 2	Wake	12/16/2021	74,331	6,933,226	26,637
390	Cary 2	Wake	12/14/2021	74,331	4,078,621	15,452
391	Cary 2	Wake	12/9/2021	74,331	5,235,780	19,039
392	Cary 2	Wake	12/7/2021	74,331	5,001,389	19,159
393	Cary 2	Wake	12/2/2021	74,331	5,759,625	21,596
394	Cary 2	Wake	11/30/2021	74,331	5,074,145	18,997
