"Treatment plant","Date of reporting","Week of reporting","COVID-19 cases, estimate"
"Viinikanlahti","2022-04-10","2022-W14","1 384"
"Aggregated","2022-04-03","2022-W13","18 525"
"Alakorkalo","2022-04-03","2022-W13","424"
"Alheda","2022-04-03","2022-W13","324"
"Kakolanmäki","2022-04-03","2022-W13","1 892"
"Kuhasalo","2022-04-03","2022-W13","690"
"Lehtoniemi","2022-04-03","2022-W13","616"
"Luotsinmäki","2022-04-03","2022-W13","795"
"Mäkikylä","2022-04-03","2022-W13","939"
"Nenäinniemi","2022-04-03","2022-W13","928"
"Paroinen","2022-04-03","2022-W13","428"
"Pått","2022-04-03","2022-W13","727"
"Seinäjoenkeskuspuhdistamo","2022-04-03","2022-W13","345"
"Suomenoja","2022-04-03","2022-W13","3 579"
"Taskila","2022-04-03","2022-W13","1 334"
"Toikansuo","2022-04-03","2022-W13","709"
"Viikinmäki","2022-04-03","2022-W13","7 142"
"Viinikanlahti","2022-04-03","2022-W13","1 617"
"Aggregated","2022-03-27","2022-W12","22 710"
"Alakorkalo","2022-03-27","2022-W12","504"
"Alheda","2022-03-27","2022-W12","471"
"Kakolanmäki","2022-03-27","2022-W12","2 754"
"Kuhasalo","2022-03-27","2022-W12","765"
"Lehtoniemi","2022-03-27","2022-W12","684"
"Luotsinmäki","2022-03-27","2022-W12","1 028"
"Mäkikylä","2022-03-27","2022-W12","1 026"
"Nenäinniemi","2022-03-27","2022-W12","1 058"
"Paroinen","2022-03-27","2022-W12","492"
"Pått","2022-03-27","2022-W12","1 011"
"Seinäjoenkeskuspuhdistamo","2022-03-27","2022-W12","391"
"Suomenoja","2022-03-27","2022-W12","4 268"
"Taskila","2022-03-27","2022-W12","1 755"
"Toikansuo","2022-03-27","2022-W12","755"
"Viikinmäki","2022-03-27","2022-W12","8 617"
"Viinikanlahti","2022-03-27","2022-W12","1 798"
"Aggregated","2022-03-20","2022-W11","23 139"
"Alakorkalo","2022-03-20","2022-W11","617"
"Alheda","2022-03-20","2022-W11","490"
"Kakolanmäki","2022-03-20","2022-W11","3 060"
"Kuhasalo","2022-03-20","2022-W11","962"
"Lehtoniemi","2022-03-20","2022-W11","693"
"Luotsinmäki","2022-03-20","2022-W11","1 027"
"Mäkikylä","2022-03-20","2022-W11","836"
"Nenäinniemi","2022-03-20","2022-W11","1 061"
"Paroinen","2022-03-20","2022-W11","544"
"Pått","2022-03-20","2022-W11","1 251"
"Seinäjoenkeskuspuhdistamo","2022-03-20","2022-W11","442"
"Suomenoja","2022-03-20","2022-W11","4 092"
"Taskila","2022-03-20","2022-W11","1 987"
"Toikansuo","2022-03-20","2022-W11","707"
"Viikinmäki","2022-03-20","2022-W11","8 183"
"Viinikanlahti","2022-03-20","2022-W11","1 849"
"Aggregated","2022-03-13","2022-W10","21 744"
"Alakorkalo","2022-03-13","2022-W10","457"
"Alheda","2022-03-13","2022-W10","584"
"Kakolanmäki","2022-03-13","2022-W10","2 808"
"Kuhasalo","2022-03-13","2022-W10","1 124"
"Lehtoniemi","2022-03-13","2022-W10","656"
"Luotsinmäki","2022-03-13","2022-W10","1 088"
"Mäkikylä","2022-03-13","2022-W10","747"
"Nenäinniemi","2022-03-13","2022-W10","1 056"
"Paroinen","2022-03-13","2022-W10","535"
"Pått","2022-03-13","2022-W10","1 299"
"Seinäjoenkeskuspuhdistamo","2022-03-13","2022-W10","440"
"Suomenoja","2022-03-13","2022-W10","3 556"
"Taskila","2022-03-13","2022-W10","2 020"
"Toikansuo","2022-03-13","2022-W10","722"
"Viikinmäki","2022-03-13","2022-W10","7 391"
"Viinikanlahti","2022-03-13","2022-W10","1 834"
"Aggregated","2022-03-06","2022-W09","17 366"
"Alakorkalo","2022-03-06","2022-W09","332"
"Alheda","2022-03-06","2022-W09","517"
"Kakolanmäki","2022-03-06","2022-W09","2 519"
"Kuhasalo","2022-03-06","2022-W09","706"
"Lehtoniemi","2022-03-06","2022-W09","508"
"Luotsinmäki","2022-03-06","2022-W09","1 042"
"Mäkikylä","2022-03-06","2022-W09","706"
"Nenäinniemi","2022-03-06","2022-W09","889"
"Paroinen","2022-03-06","2022-W09","364"
"Pått","2022-03-06","2022-W09","1 030"
"Seinäjoenkeskuspuhdistamo","2022-03-06","2022-W09","412"
"Suomenoja","2022-03-06","2022-W09","2 904"
"Taskila","2022-03-06","2022-W09","1 767"
"Toikansuo","2022-03-06","2022-W09","816"
"Viikinmäki","2022-03-06","2022-W09","5 613"
"Viinikanlahti","2022-03-06","2022-W09","1 430"
"Aggregated","2022-02-27","2022-W08","17 323"
"Alakorkalo","2022-02-27","2022-W08","330"
"Alheda","2022-02-27","2022-W08","640"
"Kakolanmäki","2022-02-27","2022-W08","2 401"
"Kuhasalo","2022-02-27","2022-W08","548"
"Lehtoniemi","2022-02-27","2022-W08","464"
"Luotsinmäki","2022-02-27","2022-W08","1 122"
"Mäkikylä","2022-02-27","2022-W08","701"
"Nenäinniemi","2022-02-27","2022-W08","989"
"Paroinen","2022-02-27","2022-W08","410"
"Pått","2022-02-27","2022-W08","1 274"
"Seinäjoenkeskuspuhdistamo","2022-02-27","2022-W08","436"
"Suomenoja","2022-02-27","2022-W08","2 866"
"Taskila","2022-02-27","2022-W08","1 713"
"Toikansuo","2022-02-27","2022-W08","935"
"Viikinmäki","2022-02-27","2022-W08","5 507"
"Viinikanlahti","2022-02-27","2022-W08","1 562"
"Aggregated","2022-02-20","2022-W07","17 439"
"Alakorkalo","2022-02-20","2022-W07","795"
"Alheda","2022-02-20","2022-W07","439"
"Kakolanmäki","2022-02-20","2022-W07","2 071"
"Kuhasalo","2022-02-20","2022-W07","567"
"Lehtoniemi","2022-02-20","2022-W07","470"
"Luotsinmäki","2022-02-20","2022-W07","1 130"
"Mäkikylä","2022-02-20","2022-W07","819"
"Nenäinniemi","2022-02-20","2022-W07","1 036"
"Paroinen","2022-02-20","2022-W07","386"
"Pått","2022-02-20","2022-W07","996"
"Seinäjoenkeskuspuhdistamo","2022-02-20","2022-W07","463"
"Suomenoja","2022-02-20","2022-W07","3 300"
"Taskila","2022-02-20","2022-W07","1 599"
"Toikansuo","2022-02-20","2022-W07","818"
"Viikinmäki","2022-02-20","2022-W07","5 811"
"Viinikanlahti","2022-02-20","2022-W07","1 589"
"Aggregated","2022-02-13","2022-W06","19 525"
"Alakorkalo","2022-02-13","2022-W06","812"
"Alheda","2022-02-13","2022-W06","390"
"Kakolanmäki","2022-02-13","2022-W06","2 550"
"Kuhasalo","2022-02-13","2022-W06","466"
"Lehtoniemi","2022-02-13","2022-W06","458"
"Luotsinmäki","2022-02-13","2022-W06","1 125"
"Mäkikylä","2022-02-13","2022-W06","721"
"Nenäinniemi","2022-02-13","2022-W06","1 234"
"Paroinen","2022-02-13","2022-W06","369"
"Pått","2022-02-13","2022-W06","859"
"Seinäjoenkeskuspuhdistamo","2022-02-13","2022-W06","528"
"Suomenoja","2022-02-13","2022-W06","3 998"
"Taskila","2022-02-13","2022-W06","1 684"
"Toikansuo","2022-02-13","2022-W06","682"
"Viikinmäki","2022-02-13","2022-W06","6 675"
"Viinikanlahti","2022-02-13","2022-W06","1 602"
"Aggregated","2022-02-06","2022-W05","20 770"
"Alakorkalo","2022-02-06","2022-W05","816"
"Alheda","2022-02-06","2022-W05","483"
"Kakolanmäki","2022-02-06","2022-W05","2 583"
"Kuhasalo","2022-02-06","2022-W05","374"
"Lehtoniemi","2022-02-06","2022-W05","477"
"Luotsinmäki","2022-02-06","2022-W05","1 037"
"Mäkikylä","2022-02-06","2022-W05","594"
"Nenäinniemi","2022-02-06","2022-W05","1 311"
"Paroinen","2022-02-06","2022-W05","342"
"Pått","2022-02-06","2022-W05","837"
"Seinäjoenkeskuspuhdistamo","2022-02-06","2022-W05","455"
"Suomenoja","2022-02-06","2022-W05","4 613"
"Taskila","2022-02-06","2022-W05","1 413"
"Toikansuo","2022-02-06","2022-W05","616"
"Viikinmäki","2022-02-06","2022-W05","7 532"
"Viinikanlahti","2022-02-06","2022-W05","1 630"
"Aggregated","2022-01-30","2022-W04","22 960"
"Alakorkalo","2022-01-30","2022-W04","840"
"Alheda","2022-01-30","2022-W04","417"
"Kakolanmäki","2022-01-30","2022-W04","2 587"
"Kuhasalo","2022-01-30","2022-W04","487"
"Lehtoniemi","2022-01-30","2022-W04","517"
"Luotsinmäki","2022-01-30","2022-W04","1 171"
"Mäkikylä","2022-01-30","2022-W04","530"
"Nenäinniemi","2022-01-30","2022-W04","1 276"
"Paroinen","2022-01-30","2022-W04","487"
"Pått","2022-01-30","2022-W04","878"
"Seinäjoenkeskuspuhdistamo","2022-01-30","2022-W04","690"
"Suomenoja","2022-01-30","2022-W04","5 463"
"Taskila","2022-01-30","2022-W04","1 200"
"Toikansuo","2022-01-30","2022-W04","560"
"Viikinmäki","2022-01-30","2022-W04","8 845"
"Viinikanlahti","2022-01-30","2022-W04","1 707"
"Aggregated","2022-01-23","2022-W03","28 925"
"Alakorkalo","2022-01-23","2022-W03","697"
"Alheda","2022-01-23","2022-W03","319"
"Kakolanmäki","2022-01-23","2022-W03","2 547"
"Kuhasalo","2022-01-23","2022-W03","726"
"Lehtoniemi","2022-01-23","2022-W03","539"
"Luotsinmäki","2022-01-23","2022-W03","1 036"
"Mäkikylä","2022-01-23","2022-W03","513"
"Nenäinniemi","2022-01-23","2022-W03","1 172"
"Paroinen","2022-01-23","2022-W03","613"
"Pått","2022-01-23","2022-W03","1 070"
"Seinäjoenkeskuspuhdistamo","2022-01-23","2022-W03","833"
"Suomenoja","2022-01-23","2022-W03","6 990"
"Taskila","2022-01-23","2022-W03","1 247"
"Toikansuo","2022-01-23","2022-W03","499"
"Viikinmäki","2022-01-23","2022-W03","12 494"
"Viinikanlahti","2022-01-23","2022-W03","2 139"
"Aggregated","2022-01-16","2022-W02","33 281"
"Alakorkalo","2022-01-16","2022-W02","613"
"Alheda","2022-01-16","2022-W02","192"
"Kakolanmäki","2022-01-16","2022-W02","2 959"
"Kuhasalo","2022-01-16","2022-W02","627"
"Lehtoniemi","2022-01-16","2022-W02","631"
"Luotsinmäki","2022-01-16","2022-W02","820"
"Mäkikylä","2022-01-16","2022-W02","514"
"Nenäinniemi","2022-01-16","2022-W02","1 200"
"Paroinen","2022-01-16","2022-W02","500"
"Pått","2022-01-16","2022-W02","984"
"Seinäjoenkeskuspuhdistamo","2022-01-16","2022-W02","612"
"Suomenoja","2022-01-16","2022-W02","7 264"
"Taskila","2022-01-16","2022-W02","1 220"
"Toikansuo","2022-01-16","2022-W02","396"
"Viikinmäki","2022-01-16","2022-W02","16 448"
"Viinikanlahti","2022-01-16","2022-W02","1 946"
"Aggregated","2022-01-09","2022-W01","34 605"
"Alakorkalo","2022-01-09","2022-W01","505"
"Alheda","2022-01-09","2022-W01","214"
"Kakolanmäki","2022-01-09","2022-W01","2 412"
"Kuhasalo","2022-01-09","2022-W01","650"
"Lehtoniemi","2022-01-09","2022-W01","512"
"Luotsinmäki","2022-01-09","2022-W01","620"
"Mäkikylä","2022-01-09","2022-W01","404"
"Nenäinniemi","2022-01-09","2022-W01","844"
"Paroinen","2022-01-09","2022-W01","457"
"Pått","2022-01-09","2022-W01","930"
"Seinäjoenkeskuspuhdistamo","2022-01-09","2022-W01","486"
"Suomenoja","2022-01-09","2022-W01","7 839"
"Taskila","2022-01-09","2022-W01","1 139"
"Toikansuo","2022-01-09","2022-W01","296"
"Viikinmäki","2022-01-09","2022-W01","18 234"
"Viinikanlahti","2022-01-09","2022-W01","2 045"
"Aggregated","2022-01-02","2021-W52","26 632"
"Alakorkalo","2022-01-02","2021-W52","280"
"Alheda","2022-01-02","2021-W52","121"
"Kakolanmäki","2022-01-02","2021-W52","1 406"
"Kuhasalo","2022-01-02","2021-W52","427"
"Lehtoniemi","2022-01-02","2021-W52","335"
"Luotsinmäki","2022-01-02","2021-W52","668"
"Mäkikylä","2022-01-02","2021-W52","243"
"Nenäinniemi","2022-01-02","2021-W52","695"
"Paroinen","2022-01-02","2021-W52","346"
"Pått","2022-01-02","2021-W52","650"
"Seinäjoenkeskuspuhdistamo","2022-01-02","2021-W52","219"
"Suomenoja","2022-01-02","2021-W52","5 939"
"Taskila","2022-01-02","2021-W52","847"
"Toikansuo","2022-01-02","2021-W52","220"
"Viikinmäki","2022-01-02","2021-W52","14 882"
"Viinikanlahti","2022-01-02","2021-W52","1 450"
"Aggregated","2021-12-26","2021-W51","13 764"
"Alakorkalo","2021-12-26","2021-W51","136"
"Alheda","2021-12-26","2021-W51","30"
"Kakolanmäki","2021-12-26","2021-W51","796"
"Kuhasalo","2021-12-26","2021-W51","141"
"Lehtoniemi","2021-12-26","2021-W51","115"
"Luotsinmäki","2021-12-26","2021-W51","371"
"Mäkikylä","2021-12-26","2021-W51","79"
"Nenäinniemi","2021-12-26","2021-W51","410"
"Paroinen","2021-12-26","2021-W51","120"
"Pått","2021-12-26","2021-W51","188"
"Seinäjoenkeskuspuhdistamo","2021-12-26","2021-W51","90"
"Suomenoja","2021-12-26","2021-W51","2 670"
"Taskila","2021-12-26","2021-W51","570"
"Toikansuo","2021-12-26","2021-W51","84"
"Viikinmäki","2021-12-26","2021-W51","7 996"
"Viinikanlahti","2021-12-26","2021-W51","878"
"Aggregated","2021-12-19","2021-W50","7 657"
"Alakorkalo","2021-12-19","2021-W50","132"
"Alheda","2021-12-19","2021-W50","18"
"Kakolanmäki","2021-12-19","2021-W50","576"
"Kuhasalo","2021-12-19","2021-W50","63"
"Lehtoniemi","2021-12-19","2021-W50","87"
"Luotsinmäki","2021-12-19","2021-W50","200"
"Mäkikylä","2021-12-19","2021-W50","52"
"Nenäinniemi","2021-12-19","2021-W50","349"
"Paroinen","2021-12-19","2021-W50","146"
"Pått","2021-12-19","2021-W50","76"
"Seinäjoenkeskuspuhdistamo","2021-12-19","2021-W50","55"
"Suomenoja","2021-12-19","2021-W50","1 561"
"Taskila","2021-12-19","2021-W50","590"
"Toikansuo","2021-12-19","2021-W50","79"
"Viikinmäki","2021-12-19","2021-W50","3 830"
"Viinikanlahti","2021-12-19","2021-W50","525"
"Aggregated","2021-12-12","2021-W49","5 491"
"Alakorkalo","2021-12-12","2021-W49","162"
"Alheda","2021-12-12","2021-W49","14"
"Kakolanmäki","2021-12-12","2021-W49","458"
"Kuhasalo","2021-12-12","2021-W49","35"
"Lehtoniemi","2021-12-12","2021-W49","65"
"Luotsinmäki","2021-12-12","2021-W49","118"
"Mäkikylä","2021-12-12","2021-W49","78"
"Nenäinniemi","2021-12-12","2021-W49","226"
"Paroinen","2021-12-12","2021-W49","110"
"Pått","2021-12-12","2021-W49","47"
"Seinäjoenkeskuspuhdistamo","2021-12-12","2021-W49","47"
"Suomenoja","2021-12-12","2021-W49","1 120"
"Taskila","2021-12-12","2021-W49","761"
"Toikansuo","2021-12-12","2021-W49","63"
"Viikinmäki","2021-12-12","2021-W49","2 304"
"Viinikanlahti","2021-12-12","2021-W49","475"
"Aggregated","2021-12-05","2021-W48","4 966"
"Alakorkalo","2021-12-05","2021-W48","117"
"Alheda","2021-12-05","2021-W48",".."
"Kakolanmäki","2021-12-05","2021-W48","572"
"Kuhasalo","2021-12-05","2021-W48","33"
"Lehtoniemi","2021-12-05","2021-W48","87"
"Luotsinmäki","2021-12-05","2021-W48","62"
"Mäkikylä","2021-12-05","2021-W48","114"
"Nenäinniemi","2021-12-05","2021-W48","210"
"Paroinen","2021-12-05","2021-W48","128"
"Pått","2021-12-05","2021-W48","43"
"Seinäjoenkeskuspuhdistamo","2021-12-05","2021-W48","47"
"Suomenoja","2021-12-05","2021-W48","919"
"Taskila","2021-12-05","2021-W48","820"
"Toikansuo","2021-12-05","2021-W48","64"
"Viikinmäki","2021-12-05","2021-W48","1 886"
"Viinikanlahti","2021-12-05","2021-W48","396"
"Aggregated","2021-11-28","2021-W47","4 165"
"Alakorkalo","2021-11-28","2021-W47","76"
"Alheda","2021-11-28","2021-W47",".."
"Kakolanmäki","2021-11-28","2021-W47","475"
"Kuhasalo","2021-11-28","2021-W47","53"
"Lehtoniemi","2021-11-28","2021-W47","47"
"Luotsinmäki","2021-11-28","2021-W47","64"
"Mäkikylä","2021-11-28","2021-W47","122"
"Nenäinniemi","2021-11-28","2021-W47","180"
"Paroinen","2021-11-28","2021-W47","127"
"Pått","2021-11-28","2021-W47","22"
"Seinäjoenkeskuspuhdistamo","2021-11-28","2021-W47","34"
"Suomenoja","2021-11-28","2021-W47","792"
"Taskila","2021-11-28","2021-W47","703"
"Toikansuo","2021-11-28","2021-W47","69"
"Viikinmäki","2021-11-28","2021-W47","1 631"
"Viinikanlahti","2021-11-28","2021-W47","262"
"Aggregated","2021-11-21","2021-W46","3 913"
"Alakorkalo","2021-11-21","2021-W46","23"
"Alheda","2021-11-21","2021-W46",".."
"Kakolanmäki","2021-11-21","2021-W46","495"
"Kuhasalo","2021-11-21","2021-W46","74"
"Lehtoniemi","2021-11-21","2021-W46","47"
"Luotsinmäki","2021-11-21","2021-W46","48"
"Mäkikylä","2021-11-21","2021-W46","60"
"Nenäinniemi","2021-11-21","2021-W46","242"
"Paroinen","2021-11-21","2021-W46","111"
"Pått","2021-11-21","2021-W46","19"
"Seinäjoenkeskuspuhdistamo","2021-11-21","2021-W46","50"
"Suomenoja","2021-11-21","2021-W46","692"
"Taskila","2021-11-21","2021-W46","549"
"Toikansuo","2021-11-21","2021-W46","85"
"Viikinmäki","2021-11-21","2021-W46","1 552"
"Viinikanlahti","2021-11-21","2021-W46","243"
"Aggregated","2021-11-14","2021-W45","3 137"
"Alakorkalo","2021-11-14","2021-W45","12"
"Alheda","2021-11-14","2021-W45","33"
"Kakolanmäki","2021-11-14","2021-W45","430"
"Kuhasalo","2021-11-14","2021-W45","81"
"Lehtoniemi","2021-11-14","2021-W45","27"
"Luotsinmäki","2021-11-14","2021-W45","50"
"Mäkikylä","2021-11-14","2021-W45","50"
"Nenäinniemi","2021-11-14","2021-W45","166"
"Paroinen","2021-11-14","2021-W45","53"
"Pått","2021-11-14","2021-W45","12"
"Seinäjoenkeskuspuhdistamo","2021-11-14","2021-W45","36"
"Suomenoja","2021-11-14","2021-W45","554"
"Taskila","2021-11-14","2021-W45","346"
"Toikansuo","2021-11-14","2021-W45","42"
"Viikinmäki","2021-11-14","2021-W45","1 344"
"Viinikanlahti","2021-11-14","2021-W45","178"
"Aggregated","2021-11-07","2021-W44","2 736"
"Alakorkalo","2021-11-07","2021-W44","12"
"Alheda","2021-11-07","2021-W44","37"
"Kakolanmäki","2021-11-07","2021-W44","339"
"Kuhasalo","2021-11-07","2021-W44","54"
"Lehtoniemi","2021-11-07","2021-W44","32"
"Luotsinmäki","2021-11-07","2021-W44","89"
"Mäkikylä","2021-11-07","2021-W44","67"
"Nenäinniemi","2021-11-07","2021-W44","92"
"Paroinen","2021-11-07","2021-W44","37"
"Pått","2021-11-07","2021-W44","13"
"Seinäjoenkeskuspuhdistamo","2021-11-07","2021-W44","40"
"Suomenoja","2021-11-07","2021-W44","515"
"Taskila","2021-11-07","2021-W44","301"
"Toikansuo","2021-11-07","2021-W44","33"
"Viikinmäki","2021-11-07","2021-W44","1 210"
"Viinikanlahti","2021-11-07","2021-W44","180"
"Aggregated","2021-10-31","2021-W43","2 301"
"Alakorkalo","2021-10-31","2021-W43","12"
"Alheda","2021-10-31","2021-W43","27"
"Kakolanmäki","2021-10-31","2021-W43","183"
"Kuhasalo","2021-10-31","2021-W43","30"
"Lehtoniemi","2021-10-31","2021-W43","46"
"Luotsinmäki","2021-10-31","2021-W43","76"
"Mäkikylä","2021-10-31","2021-W43","42"
"Nenäinniemi","2021-10-31","2021-W43","109"
"Paroinen","2021-10-31","2021-W43","26"
"Pått","2021-10-31","2021-W43","5"
"Seinäjoenkeskuspuhdistamo","2021-10-31","2021-W43","60"
"Suomenoja","2021-10-31","2021-W43","420"
"Taskila","2021-10-31","2021-W43","249"
"Toikansuo","2021-10-31","2021-W43","24"
"Viikinmäki","2021-10-31","2021-W43","1 090"
"Viinikanlahti","2021-10-31","2021-W43","168"
"Aggregated","2021-10-24","2021-W42","2 049"
"Alakorkalo","2021-10-24","2021-W42","7"
"Alheda","2021-10-24","2021-W42","43"
"Kakolanmäki","2021-10-24","2021-W42","232"
"Kuhasalo","2021-10-24","2021-W42","30"
"Lehtoniemi","2021-10-24","2021-W42","40"
"Luotsinmäki","2021-10-24","2021-W42","42"
"Mäkikylä","2021-10-24","2021-W42","18"
"Nenäinniemi","2021-10-24","2021-W42","109"
"Paroinen","2021-10-24","2021-W42","14"
"Pått","2021-10-24","2021-W42","6"
"Seinäjoenkeskuspuhdistamo","2021-10-24","2021-W42","42"
"Suomenoja","2021-10-24","2021-W42","375"
"Taskila","2021-10-24","2021-W42","162"
"Toikansuo","2021-10-24","2021-W42","11"
"Viikinmäki","2021-10-24","2021-W42","934"
"Viinikanlahti","2021-10-24","2021-W42","163"
"Aggregated","2021-10-17","2021-W41","2 042"
"Alakorkalo","2021-10-17","2021-W41","7"
"Alheda","2021-10-17","2021-W41","57"
"Kakolanmäki","2021-10-17","2021-W41","184"
"Kuhasalo","2021-10-17","2021-W41","16"
"Lehtoniemi","2021-10-17","2021-W41","49"
"Luotsinmäki","2021-10-17","2021-W41","39"
"Mäkikylä","2021-10-17","2021-W41","26"
"Nenäinniemi","2021-10-17","2021-W41","199"
"Paroinen","2021-10-17","2021-W41","20"
"Pått","2021-10-17","2021-W41","17"
"Seinäjoenkeskuspuhdistamo","2021-10-17","2021-W41","61"
"Suomenoja","2021-10-17","2021-W41","325"
"Taskila","2021-10-17","2021-W41","124"
"Toikansuo","2021-10-17","2021-W41","18"
"Viikinmäki","2021-10-17","2021-W41","945"
"Viinikanlahti","2021-10-17","2021-W41","182"
"Aggregated","2021-10-10","2021-W40","2 273"
"Alakorkalo","2021-10-10","2021-W40","23"
"Alheda","2021-10-10","2021-W40","74"
"Kakolanmäki","2021-10-10","2021-W40","259"
"Kuhasalo","2021-10-10","2021-W40","17"
"Lehtoniemi","2021-10-10","2021-W40","111"
"Luotsinmäki","2021-10-10","2021-W40","62"
"Mäkikylä","2021-10-10","2021-W40","31"
"Nenäinniemi","2021-10-10","2021-W40","272"
"Paroinen","2021-10-10","2021-W40","35"
"Pått","2021-10-10","2021-W40","35"
"Seinäjoenkeskuspuhdistamo","2021-10-10","2021-W40","57"
"Suomenoja","2021-10-10","2021-W40","349"
"Taskila","2021-10-10","2021-W40","112"
"Toikansuo","2021-10-10","2021-W40","35"
"Viikinmäki","2021-10-10","2021-W40","931"
"Viinikanlahti","2021-10-10","2021-W40","188"
"Aggregated","2021-10-03","2021-W39","2 114"
"Alakorkalo","2021-10-03","2021-W39","32"
"Alheda","2021-10-03","2021-W39","65"
"Kakolanmäki","2021-10-03","2021-W39","290"
"Kuhasalo","2021-10-03","2021-W39","18"
"Lehtoniemi","2021-10-03","2021-W39","104"
"Luotsinmäki","2021-10-03","2021-W39","83"
"Mäkikylä","2021-10-03","2021-W39","18"
"Nenäinniemi","2021-10-03","2021-W39","162"
"Paroinen","2021-10-03","2021-W39","20"
"Pått","2021-10-03","2021-W39","29"
"Seinäjoenkeskuspuhdistamo","2021-10-03","2021-W39","34"
"Suomenoja","2021-10-03","2021-W39","371"
"Taskila","2021-10-03","2021-W39","116"
"Toikansuo","2021-10-03","2021-W39","27"
"Viikinmäki","2021-10-03","2021-W39","872"
"Viinikanlahti","2021-10-03","2021-W39","152"
"Aggregated","2021-09-26","2021-W38","1 694"
"Alakorkalo","2021-09-26","2021-W38","33"
"Alheda","2021-09-26","2021-W38","35"
"Kakolanmäki","2021-09-26","2021-W38","260"
"Kuhasalo","2021-09-26","2021-W38","10"
"Lehtoniemi","2021-09-26","2021-W38","116"
"Luotsinmäki","2021-09-26","2021-W38","80"
"Mäkikylä","2021-09-26","2021-W38","22"
"Nenäinniemi","2021-09-26","2021-W38","95"
"Paroinen","2021-09-26","2021-W38","8"
"Pått","2021-09-26","2021-W38","18"
"Seinäjoenkeskuspuhdistamo","2021-09-26","2021-W38","14"
"Suomenoja","2021-09-26","2021-W38","288"
"Taskila","2021-09-26","2021-W38","125"
"Toikansuo","2021-09-26","2021-W38","50"
"Viikinmäki","2021-09-26","2021-W38","653"
"Viinikanlahti","2021-09-26","2021-W38","131"
"Aggregated","2021-09-19","2021-W37","1 579"
"Alakorkalo","2021-09-19","2021-W37","26"
"Alheda","2021-09-19","2021-W37","24"
"Kakolanmäki","2021-09-19","2021-W37","234"
"Kuhasalo","2021-09-19","2021-W37","14"
"Lehtoniemi","2021-09-19","2021-W37","118"
"Luotsinmäki","2021-09-19","2021-W37","130"
"Mäkikylä","2021-09-19","2021-W37","28"
"Nenäinniemi","2021-09-19","2021-W37","71"
"Paroinen","2021-09-19","2021-W37","20"
"Pått","2021-09-19","2021-W37","43"
"Seinäjoenkeskuspuhdistamo","2021-09-19","2021-W37","11"
"Suomenoja","2021-09-19","2021-W37","262"
"Taskila","2021-09-19","2021-W37","85"
"Toikansuo","2021-09-19","2021-W37","75"
"Viikinmäki","2021-09-19","2021-W37","653"
"Viinikanlahti","2021-09-19","2021-W37","99"
"Aggregated","2021-09-12","2021-W36","1 808"
"Alakorkalo","2021-09-12","2021-W36","16"
"Alheda","2021-09-12","2021-W36","44"
"Kakolanmäki","2021-09-12","2021-W36","268"
"Kuhasalo","2021-09-12","2021-W36","8"
"Lehtoniemi","2021-09-12","2021-W36","96"
"Luotsinmäki","2021-09-12","2021-W36","46"
"Mäkikylä","2021-09-12","2021-W36","20"
"Nenäinniemi","2021-09-12","2021-W36","37"
"Paroinen","2021-09-12","2021-W36","27"
"Pått","2021-09-12","2021-W36","83"
"Seinäjoenkeskuspuhdistamo","2021-09-12","2021-W36","13"
"Suomenoja","2021-09-12","2021-W36","345"
"Taskila","2021-09-12","2021-W36","59"
"Toikansuo","2021-09-12","2021-W36","45"
"Viikinmäki","2021-09-12","2021-W36","779"
"Viinikanlahti","2021-09-12","2021-W36","134"
"Aggregated","2021-09-05","2021-W35","2 308"
"Alakorkalo","2021-09-05","2021-W35","18"
"Alheda","2021-09-05","2021-W35","44"
"Kakolanmäki","2021-09-05","2021-W35","331"
"Kuhasalo","2021-09-05","2021-W35","9"
"Lehtoniemi","2021-09-05","2021-W35","47"
"Luotsinmäki","2021-09-05","2021-W35","18"
"Mäkikylä","2021-09-05","2021-W35","13"
"Nenäinniemi","2021-09-05","2021-W35","15"
"Paroinen","2021-09-05","2021-W35","18"
"Pått","2021-09-05","2021-W35","75"
"Seinäjoenkeskuspuhdistamo","2021-09-05","2021-W35","21"
"Suomenoja","2021-09-05","2021-W35","506"
"Taskila","2021-09-05","2021-W35","102"
"Toikansuo","2021-09-05","2021-W35","59"
"Viikinmäki","2021-09-05","2021-W35","1 054"
"Viinikanlahti","2021-09-05","2021-W35","169"
"Aggregated","2021-08-29","2021-W34","2 507"
"Alakorkalo","2021-08-29","2021-W34","14"
"Alheda","2021-08-29","2021-W34","11"
"Kakolanmäki","2021-08-29","2021-W34","326"
"Kuhasalo","2021-08-29","2021-W34","12"
"Lehtoniemi","2021-08-29","2021-W34","41"
"Luotsinmäki","2021-08-29","2021-W34","14"
"Mäkikylä","2021-08-29","2021-W34","21"
"Nenäinniemi","2021-08-29","2021-W34","20"
"Paroinen","2021-08-29","2021-W34","43"
"Pått","2021-08-29","2021-W34","60"
"Seinäjoenkeskuspuhdistamo","2021-08-29","2021-W34","49"
"Suomenoja","2021-08-29","2021-W34","602"
"Taskila","2021-08-29","2021-W34","109"
"Toikansuo","2021-08-29","2021-W34","54"
"Viikinmäki","2021-08-29","2021-W34","1 209"
"Viinikanlahti","2021-08-29","2021-W34","128"
"Aggregated","2021-08-22","2021-W33","2 675"
"Alakorkalo","2021-08-22","2021-W33","25"
