"Treatment plant","Date of reporting","Week of reporting","COVID-19 cases, estimate"
"Kakolanmäki","2023-01-15","2023-W02","64"
"Kuhasalo","2023-01-15","2023-W02","32"
"Lehtoniemi","2023-01-15","2023-W02","11"
"Luotsinmäki","2023-01-15","2023-W02","44"
"Mäkikylä","2023-01-15","2023-W02","50"
"Nenäinniemi","2023-01-15","2023-W02","34"
"Paroinen","2023-01-15","2023-W02","9"
"Pått","2023-01-15","2023-W02","8"
"Seinäjoenkeskuspuhdistamo","2023-01-15","2023-W02","10"
"Suomenoja","2023-01-15","2023-W02","100"
"Taskila","2023-01-15","2023-W02","29"
"Toikansuo","2023-01-15","2023-W02","57"
"Viikinmäki","2023-01-15","2023-W02","226"
"Viinikanlahti","2023-01-15","2023-W02","37"
"Aggregated","2023-01-08","2023-W01","912"
"Alakorkalo","2023-01-08","2023-W01","10"
"Alheda","2023-01-08","2023-W01","9"
"Kakolanmäki","2023-01-08","2023-W01","82"
"Kuhasalo","2023-01-08","2023-W01","44"
"Lehtoniemi","2023-01-08","2023-W01","36"
"Luotsinmäki","2023-01-08","2023-W01","76"
"Mäkikylä","2023-01-08","2023-W01","58"
"Nenäinniemi","2023-01-08","2023-W01","79"
"Paroinen","2023-01-08","2023-W01","20"
"Pått","2023-01-08","2023-W01","16"
"Seinäjoenkeskuspuhdistamo","2023-01-08","2023-W01","33"
"Suomenoja","2023-01-08","2023-W01","170"
"Taskila","2023-01-08","2023-W01","45"
"Toikansuo","2023-01-08","2023-W01","69"
"Viikinmäki","2023-01-08","2023-W01","380"
"Viinikanlahti","2023-01-08","2023-W01","59"
"Aggregated","2023-01-01","2022-W52","1 632"
"Alakorkalo","2023-01-01","2022-W52","16"
"Alheda","2023-01-01","2022-W52","20"
"Kakolanmäki","2023-01-01","2022-W52","196"
"Kuhasalo","2023-01-01","2022-W52","102"
"Lehtoniemi","2023-01-01","2022-W52","102"
"Luotsinmäki","2023-01-01","2022-W52","136"
"Mäkikylä","2023-01-01","2022-W52","98"
"Nenäinniemi","2023-01-01","2022-W52","119"
"Paroinen","2023-01-01","2022-W52","43"
"Pått","2023-01-01","2022-W52","19"
"Seinäjoenkeskuspuhdistamo","2023-01-01","2022-W52","39"
"Suomenoja","2023-01-01","2022-W52","256"
"Taskila","2023-01-01","2022-W52","94"
"Toikansuo","2023-01-01","2022-W52","86"
"Viikinmäki","2023-01-01","2022-W52","608"
"Viinikanlahti","2023-01-01","2022-W52","135"
"Aggregated","2022-12-25","2022-W51","2 800"
"Alakorkalo","2022-12-25","2022-W51","23"
"Alheda","2022-12-25","2022-W51","56"
"Kakolanmäki","2022-12-25","2022-W51","296"
"Kuhasalo","2022-12-25","2022-W51","162"
"Lehtoniemi","2022-12-25","2022-W51","140"
"Luotsinmäki","2022-12-25","2022-W51","167"
"Mäkikylä","2022-12-25","2022-W51","158"
"Nenäinniemi","2022-12-25","2022-W51","219"
"Paroinen","2022-12-25","2022-W51","84"
"Pått","2022-12-25","2022-W51","64"
"Seinäjoenkeskuspuhdistamo","2022-12-25","2022-W51","70"
"Suomenoja","2022-12-25","2022-W51","458"
"Taskila","2022-12-25","2022-W51","233"
