"Date of sample","Treatment plant","Location of treatment plant","Number of residents","Inflow","Method","Uncertainties","Coronavirus result from the sample","Normalized RNA count"
"2025-01-20","Viinikanlahti","Tampere","200000","68777","dPCR A","","Detected","73795"
"2025-01-20","Kakolanmäki","Turku","300000","86470","dPCR A","","Detected","50584"
"2025-01-20","Pått","Vaasa","69500","20132","dPCR A","","Detected","24885"
"2025-01-13","Aggregated","Aggregated","","","dPCR A","","","48446"
"2025-01-13","Viikinmäki","Helsinki","910000","272838","dPCR A","","Detected","41392"
"2025-01-13","Kuhasalo","Joensuu","98000","14254","dPCR A","","Detected","31864"
"2025-01-13","Lehtoniemi","Kuopio","95400","13033","dPCR A","","Detected","68893"
"2025-01-13","Taskila","Oulu","200000","38656","dPCR A","","Detected","47774"
"2025-01-13","Alakorkalo","Rovaniemi","55000","15262","dPCR A","","Detected","50254"
"2025-01-13","Viinikanlahti","Tampere","200000","70505","dPCR A","","Detected","88054"
"2025-01-13","Kakolanmäki","Turku","300000","76180","dPCR A","","Detected","44868"
"2025-01-13","Pått","Vaasa","69500","15041","dPCR A","","Detected","38098"
"2024-12-30","Aggregated","Aggregated","","","dPCR A","","","153744"
"2024-12-30","Viikinmäki","Helsinki","910000","398236","dPCR A","","Detected","127448"
"2024-12-30","Kuhasalo","Joensuu","98000","17353","dPCR A","","Detected","191553"
"2024-12-30","Lehtoniemi","Kuopio","95400","13530","dPCR A","","Detected","209272"
"2024-12-30","Taskila","Oulu","200000","46666","dPCR A","","Detected","174206"
"2024-12-30","Alakorkalo","Rovaniemi","55000","16117","dPCR A","a","Detected","205560"
"2024-12-30","Viinikanlahti","Tampere","200000","85640","dPCR A","a","Detected","171250"
"2024-12-30","Kakolanmäki","Turku","300000","108119","dPCR A","","Detected","167075"
"2024-12-30","Pått","Vaasa","69500","20302","dPCR A","","Detected","160699"
"2024-12-16","Aggregated","Aggregated","","","qPCR C","","","254503"
"2024-12-16","Viikinmäki","Helsinki","910000","283518","qPCR C","","Detected","213836"
"2024-12-16","Kuhasalo","Joensuu","98000","15238","qPCR C","","Detected","350557"
"2024-12-16","Lehtoniemi","Kuopio","95400","14286","qPCR C","c","Detected","269264"
"2024-12-16","Taskila","Oulu","200000","40428","qPCR C","","Detected","199853"
"2024-12-16","Alakorkalo","Rovaniemi","55000","17781","qPCR C","","Detected","490310"
"2024-12-16","Viinikanlahti","Tampere","200000","66732","qPCR C","","Detected","473514"
"2024-12-16","Kakolanmäki","Turku","300000","91695","qPCR C","","Detected","200153"
"2024-12-16","Pått","Vaasa","69500","16064","qPCR C","","Detected","206294"
"2024-12-09","Aggregated","Aggregated","","","qPCR C","","","281145"
"2024-12-09","Viikinmäki","Helsinki","910000","269435","qPCR C","","Detected","245106"
"2024-12-09","Kuhasalo","Joensuu","98000","16133","qPCR C","","Detected","296011"
"2024-12-09","Lehtoniemi","Kuopio","95400","14697","qPCR C","","Detected","284853"
"2024-12-09","Taskila","Oulu","200000","40860","qPCR C","","Detected","226433"
"2024-12-09","Alakorkalo","Rovaniemi","55000","17715","qPCR C","","Detected","687031"
"2024-12-09","Viinikanlahti","Tampere","200000","73279","qPCR C","","Detected","356215"
"2024-12-09","Kakolanmäki","Turku","300000","98898","qPCR C","","Detected","325937"
"2024-12-09","Pått","Vaasa","69500","19174","qPCR C","","Detected","153830"
"2024-11-25","Aggregated","Aggregated","","","qPCR C","","","196999"
"2024-11-25","Viikinmäki","Helsinki","910000","342407","qPCR C","","Detected","119101"
"2024-11-25","Kuhasalo","Joensuu","98000","14296","qPCR C","","Detected","227704"
"2024-11-25","Lehtoniemi","Kuopio","95400","13252","qPCR C","","Detected","305169"
"2024-11-25","Taskila","Oulu","200000","38914","qPCR C","","Detected","217887"
"2024-11-25","Alakorkalo","Rovaniemi","55000","17430","qPCR C","","Detected","316140"
"2024-11-25","Viinikanlahti","Tampere","200000","65580","qPCR C","","Detected","410301"
"2024-11-25","Kakolanmäki","Turku","300000","67547","qPCR C","","Detected","224130"
"2024-11-25","Pått","Vaasa","69500","18866","qPCR C","","Detected","139861"
"2024-11-20","Lehtoniemi","Kuopio","95400","15631","qPCR C","","Detected","248537"
"2024-11-18","Aggregated","Aggregated","","","qPCR C","","","269483"
"2024-11-18","Viikinmäki","Helsinki","910000","263839","qPCR C","","Detected","222309"
"2024-11-18","Kuhasalo","Joensuu","98000","14864","qPCR C","","Detected","262414"
"2024-11-18","Taskila","Oulu","200000","43869","qPCR C","","Detected","375971"
"2024-11-18","Alakorkalo","Rovaniemi","55000","19196","qPCR C","","Detected","853265"
"2024-11-18","Viinikanlahti","Tampere","200000","68036","qPCR C","","Detected","305968"
"2024-11-18","Kakolanmäki","Turku","300000","70485","qPCR C","","Detected","238248"
"2024-11-18","Pått","Vaasa","69500","19669","qPCR C","","Detected","187288"
"2024-11-11","Aggregated","Aggregated","","","qPCR C","","","142768"
"2024-11-11","Viikinmäki","Helsinki","910000","252383","qPCR C","","Detected","92952"
"2024-11-11","Kuhasalo","Joensuu","98000","14132","qPCR C","","Detected","136822"
"2024-11-11","Lehtoniemi","Kuopio","95400","12688","qPCR C","","Detected","170561"
"2024-11-11","Taskila","Oulu","200000","43942","qPCR C","","Detected","223593"
"2024-11-11","Alakorkalo","Rovaniemi","55000","18147","qPCR C","","Detected","526428"
"2024-11-11","Viinikanlahti","Tampere","200000","71574","qPCR C","","Detected","174232"
"2024-11-11","Kakolanmäki","Turku","300000","73266","qPCR C","","Detected","148412"
"2024-11-11","Pått","Vaasa","69500","17657","qPCR C","","Detected","114148"
"2024-11-04","Aggregated","Aggregated","","","qPCR C","","","113755"
"2024-11-04","Viikinmäki","Helsinki","910000","341830","qPCR C","","Detected","98176"
"2024-11-04","Kuhasalo","Joensuu","98000","14204","qPCR C","","Detected","84260"
"2024-11-04","Lehtoniemi","Kuopio","95400","13404","qPCR C","","Detected","148458"
"2024-11-04","Taskila","Oulu","200000","47234","qPCR C","","Detected","132975"
"2024-11-04","Alakorkalo","Rovaniemi","55000","19072","qPCR C","","Detected","254936"
"2024-11-04","Viinikanlahti","Tampere","200000","68504","qPCR C","","Detected","143837"
"2024-11-04","Kakolanmäki","Turku","300000","106480","qPCR C","","Detected","97669"
"2024-11-04","Pått","Vaasa","69500","19431","qPCR C","","Detected","127541"
"2024-10-28","Aggregated","Aggregated","","","qPCR C","","","121833"
"2024-10-28","Viikinmäki","Helsinki","910000","261546","qPCR C","","Detected","113968"
"2024-10-28","Kuhasalo","Joensuu","98000","14251","qPCR C","","Detected","114532"
"2024-10-28","Lehtoniemi","Kuopio","95400","13134","qPCR C","","Detected","116921"
"2024-10-28","Taskila","Oulu","200000","45880","qPCR C","","Detected","120039"
"2024-10-28","Alakorkalo","Rovaniemi","55000","20226","qPCR C","","Detected","211456"
"2024-10-28","Viinikanlahti","Tampere","200000","66202","qPCR C","","Detected","172156"
"2024-10-28","Kakolanmäki","Turku","300000","78470","qPCR C","","Detected","99413"
"2024-10-28","Pått","Vaasa","69500","23287","qPCR C","","Detected","128059"
"2024-10-21","Aggregated","Aggregated","","","qPCR C","","","107080"
"2024-10-21","Viikinmäki","Helsinki","910000","233445","qPCR C","","Detected","86662"
"2024-10-21","Kuhasalo","Joensuu","98000","14115","qPCR C","","Detected","120113"
"2024-10-21","Lehtoniemi","Kuopio","95400","12912","qPCR C","","Detected","108892"
"2024-10-21","Taskila","Oulu","200000","47616","qPCR C","","Detected","122576"
"2024-10-21","Alakorkalo","Rovaniemi","55000","18716","qPCR C","","Detected","245426"
"2024-10-21","Viinikanlahti","Tampere","200000","70505","qPCR C","","Detected","151775"
"2024-10-21","Kakolanmäki","Turku","300000","68869","qPCR C","","Detected","100792"
"2024-10-21","Pått","Vaasa","69500","17320","qPCR C","","Detected","98018"
"2024-10-14","Aggregated","Aggregated","","","qPCR C","","","160548"
"2024-10-14","Viikinmäki","Helsinki","910000","296944","qPCR C","","Detected","124458"
"2024-10-14","Kuhasalo","Joensuu","98000","13396","qPCR C","","Detected","78067"
"2024-10-14","Lehtoniemi","Kuopio","95400","12421","qPCR C","","Detected","116593"
"2024-10-14","Taskila","Oulu","200000","50378","qPCR C","","Detected","233695"
"2024-10-14","Alakorkalo","Rovaniemi","55000","20532","qPCR C","","Detected","250952"
"2024-10-14","Viinikanlahti","Tampere","200000","76834","qPCR C","","Detected","139841"
"2024-10-14","Kakolanmäki","Turku","300000","94141","qPCR C","","Detected","260432"
"2024-10-14","Pått","Vaasa","69500","19896","qPCR C","","Detected","156120"
"2024-10-07","Aggregated","Aggregated","","","qPCR C","","","82938"
"2024-10-07","Viikinmäki","Helsinki","910000","213595","qPCR C","","Detected","80630"
"2024-10-07","Kuhasalo","Joensuu","98000","15360","qPCR C","","Detected","71836"
"2024-10-07","Lehtoniemi","Kuopio","95400","12975","qPCR C","","Detected","81596"
"2024-10-07","Taskila","Oulu","200000","47005","qPCR C","","Detected","102695"
"2024-10-07","Alakorkalo","Rovaniemi","55000","17231","qPCR C","","Detected","177703"
"2024-10-07","Viinikanlahti","Tampere","200000","65588","qPCR C","","Detected","76543"
"2024-10-07","Kakolanmäki","Turku","300000","61760","qPCR C","","Detected","62621"
"2024-10-07","Pått","Vaasa","69500","15055","qPCR C","","Detected","104916"
"2024-09-30","Aggregated","Aggregated","","","qPCR C","","","123503"
"2024-09-30","Viikinmäki","Helsinki","910000","297701","qPCR C","","Detected","107311"
"2024-09-30","Kuhasalo","Joensuu","98000","14389","qPCR C","","Detected","80276"
"2024-09-30","Lehtoniemi","Kuopio","95400","12412","qPCR C","","Detected","173509"
"2024-09-30","Taskila","Oulu","200000","49476","qPCR C","","Detected","158147"
"2024-09-30","Alakorkalo","Rovaniemi","55000","19611","qPCR C","","Detected","236017"
"2024-09-30","Viinikanlahti","Tampere","200000","71326","qPCR C","","Detected","94028"
"2024-09-30","Kakolanmäki","Turku","300000","77409","qPCR C","","Detected","145052"
"2024-09-30","Pått","Vaasa","69500","15572","qPCR C","","Detected","130889"
"2024-09-23","Aggregated","Aggregated","","","qPCR C","","","126207"
"2024-09-23","Viikinmäki","Helsinki","910000","210256","qPCR C","","Detected","122637"
"2024-09-23","Kuhasalo","Joensuu","98000","13372","qPCR C","","Detected","85277"
"2024-09-23","Lehtoniemi","Kuopio","95400","12338","qPCR C","","Detected","73746"
"2024-09-23","Taskila","Oulu","200000","43396","qPCR C","","Detected","138006"
"2024-09-23","Alakorkalo","Rovaniemi","55000","14624","qPCR C","","Detected","321166"
"2024-09-23","Viinikanlahti","Tampere","200000","66160","qPCR C","","Detected","142835"
"2024-09-23","Kakolanmäki","Turku","300000","60214","qPCR C","","Detected","121457"
"2024-09-23","Pått","Vaasa","69500","15390","qPCR C","","Detected","87103"
"2024-09-16","Aggregated","Aggregated","","","qPCR C","","","77097"
"2024-09-16","Viikinmäki","Helsinki","910000","273892","qPCR C","","Detected","61702"
"2024-09-16","Kuhasalo","Joensuu","98000","14285","qPCR C","","Detected","72242"
"2024-09-16","Lehtoniemi","Kuopio","95400","14436","qPCR C","","Detected","65987"
"2024-09-16","Taskila","Oulu","200000","46063","qPCR C","","Detected","58794"
"2024-09-16","Alakorkalo","Rovaniemi","55000","15691","qPCR C","","Detected","256008"
"2024-09-16","Viinikanlahti","Tampere","200000","70264","qPCR C","","Detected","83431"
"2024-09-16","Kakolanmäki","Turku","300000","78185","qPCR C","","Detected","107845"
"2024-09-16","Pått","Vaasa","69500","14333","qPCR C","","Detected","60893"
"2024-09-09","Aggregated","Aggregated","","","qPCR C","","","131414"
"2024-09-09","Viikinmäki","Helsinki","910000","208409","qPCR C","","Detected","133379"
"2024-09-09","Kuhasalo","Joensuu","98000","13716","qPCR C","","Detected","111414"
"2024-09-09","Lehtoniemi","Kuopio","95400","12375","qPCR C","","Detected","78800"
"2024-09-09","Taskila","Oulu","200000","46382","qPCR C","","Detected","84496"
"2024-09-09","Alakorkalo","Rovaniemi","55000","16663","qPCR C","","Detected","277878"
"2024-09-09","Viinikanlahti","Tampere","200000","61788","qPCR C","","Detected","176287"
"2024-09-09","Kakolanmäki","Turku","300000","63160","qPCR C","","Detected","127890"
"2024-09-09","Pått","Vaasa","69500","15562","qPCR C","","Detected","111296"
"2024-09-02","Aggregated","Aggregated","","","qPCR C","","","249248"
"2024-09-02","Viikinmäki","Helsinki","910000","234774","qPCR C","","Detected","154996"
"2024-09-02","Kuhasalo","Joensuu","98000","14312","qPCR C","a","Detected","129629"
"2024-09-02","Lehtoniemi","Kuopio","95400","12181","qPCR C","","Detected","166375"
"2024-09-02","Taskila","Oulu","200000","48695","qPCR C","","Detected","177899"
"2024-09-02","Alakorkalo","Rovaniemi","55000","18064","qPCR C","","Detected","303979"
"2024-09-02","Viinikanlahti","Tampere","200000","76820","qPCR C","","Detected","322329"
"2024-09-02","Kakolanmäki","Turku","300000","105976","qPCR C","","Detected","602240"
"2024-09-02","Pått","Vaasa","69500","20173","qPCR C","","Detected","193771"
"2024-08-26","Aggregated","Aggregated","","","qPCR C","","","145074"
"2024-08-26","Blominmäki","Espoo","390000","81087","qPCR C","","Detected","206548"
"2024-08-26","Viikinmäki","Helsinki","910000","213579","qPCR C","","Detected","155711"
"2024-08-26","Kuhasalo","Joensuu","98000","14502","qPCR C","","Detected","121228"
"2024-08-26","Nenäinniemi","Jyväskylä","154600","31725","qPCR C","","Detected","185252"
"2024-08-26","Lehtoniemi","Kuopio","95400","11927","qPCR C","","Detected","93851"
"2024-08-26","Taskila","Oulu","200000","48215","qPCR C","","Detected","80783"
"2024-08-26","Alakorkalo","Rovaniemi","55000","18900","qPCR C","","Detected","194830"
"2024-08-26","Viinikanlahti","Tampere","200000","63126","qPCR C","","Detected","203000"
"2024-08-26","Kakolanmäki","Turku","300000","56029","qPCR C","","Detected","120633"
"2024-08-26","Pått","Vaasa","69500","17355","qPCR C","","Detected","194187"
"2024-08-12","Viikinmäki","Helsinki","910000","229721","qPCR C","","Detected","265509"
"2024-07-29","Aggregated","Aggregated","","","qPCR C","","","119772"
"2024-07-29","Blominmäki","Espoo","390000","70955","qPCR C","","Detected","41072"
"2024-07-29","Viikinmäki","Helsinki","910000","194263","qPCR C","","Detected","124437"
"2024-07-29","Kuhasalo","Joensuu","98000","13622","qPCR C","","Detected","97171"
"2024-07-29","Nenäinniemi","Jyväskylä","154600","29583","qPCR C","","Detected","156243"
"2024-07-29","Lehtoniemi","Kuopio","95400","13781","qPCR C","","Detected","87156"
"2024-07-29","Taskila","Oulu","200000","46140","qPCR C","","Detected","78735"
"2024-07-29","Alakorkalo","Rovaniemi","55000","18543","qPCR C","","Detected","160620"
"2024-07-29","Viinikanlahti","Tampere","200000","62060","qPCR C","","Detected","192571"
"2024-07-29","Kakolanmäki","Turku","300000","52461","qPCR C","","Detected","101497"
"2024-07-29","Pått","Vaasa","69500","21824","qPCR C","","Detected","90493"
"2024-07-01","Aggregated","Aggregated","","","qPCR C","","","94553"
"2024-07-01","Blominmäki","Espoo","390000","69325","qPCR C","","Detected","72820"
"2024-07-01","Viikinmäki","Helsinki","910000","197644","qPCR C","","Detected","102193"
"2024-07-01","Kuhasalo","Joensuu","98000","15039","qPCR C","","Detected","34219"
"2024-07-01","Nenäinniemi","Jyväskylä","154600","28960","qPCR C","","Detected","102769"
"2024-07-01","Lehtoniemi","Kuopio","95400","11943","qPCR C","","Detected","78274"
"2024-07-01","Taskila","Oulu","200000","43534","qPCR C","","Detected","48237"
"2024-07-01","Alakorkalo","Rovaniemi","55000","16942","qPCR C","","Detected","200571"
"2024-07-01","Viinikanlahti","Tampere","200000","70505","qPCR C","","Detected","110609"
"2024-07-01","Kakolanmäki","Turku","300000","56397","qPCR C","","Detected","105342"
"2024-07-01","Pått","Vaasa","69500","12910","qPCR C","","Detected","58567"
"2024-06-17","Aggregated","Aggregated","","","qPCR C","","","60954"
"2024-06-17","Blominmäki","Espoo","390000","76798","qPCR C","","Detected","70288"
"2024-06-17","Viikinmäki","Helsinki","910000","209373","qPCR C","","Detected","58563"
"2024-06-17","Kuhasalo","Joensuu","98000","16664","qPCR C","","Detected","18608"
"2024-06-17","Nenäinniemi","Jyväskylä","154600","31949","qPCR C","","Detected","107080"
"2024-06-17","Lehtoniemi","Kuopio","95400","12250","qPCR C","","Detected","42280"
"2024-06-17","Taskila","Oulu","200000","48424","qPCR C","","Detected","41108"
"2024-06-17","Alakorkalo","Rovaniemi","55000","19846","qPCR C","a","Detected","142317"
"2024-06-17","Viinikanlahti","Tampere","200000","66210","qPCR C","","Detected","107758"
"2024-06-17","Kakolanmäki","Turku","300000","61574","qPCR C","a","Detected","54984"
"2024-06-17","Pått","Vaasa","69500","15233","qPCR C","","Detected","61394"
"2024-06-03","Viikinmäki","Helsinki","910000","224657","qPCR C","","Detected","43202"
"2024-05-20","Aggregated","Aggregated","","","qPCR C","","","18210"
"2024-05-20","Blominmäki","Espoo","390000","91905","qPCR C","","Detected","14165"
"2024-05-20","Viikinmäki","Helsinki","910000","241925","qPCR C","","Detected","11821"
"2024-05-20","Kuhasalo","Joensuu","98000","22394","qPCR C","","Detected","33581"
"2024-05-20","Nenäinniemi","Jyväskylä","154600","37339","qPCR C","","Detected","32535"
"2024-05-20","Lehtoniemi","Kuopio","95400","18734","qPCR C","","Detected","23357"
"2024-05-20","Taskila","Oulu","200000","52577","qPCR C","","Detected","17007"
"2024-05-20","Alakorkalo","Rovaniemi","55000","25755","qPCR C","","Detected","32684"
"2024-05-20","Viinikanlahti","Tampere","200000","68164","qPCR C","","Detected","22076"
"2024-05-20","Kakolanmäki","Turku","300000","64894","qPCR C","","Detected","28673"
"2024-05-20","Pått","Vaasa","69500","16688","qPCR C","","Detected","8847"
"2024-05-06","Aggregated","Aggregated","","","qPCR C","","","26036"
"2024-05-06","Blominmäki","Espoo","390000","110623","qPCR C","","Detected","25394"
"2024-05-06","Viikinmäki","Helsinki","910000","273220","qPCR C","","Detected","21953"
"2024-05-06","Kuhasalo","Joensuu","98000","28886","qPCR C","","Detected","27215"
"2024-05-06","Nenäinniemi","Jyväskylä","154600","43816","qPCR C","","Detected","30724"
"2024-05-06","Lehtoniemi","Kuopio","95400","24908","qPCR C","","Detected","13298"
"2024-05-06","Taskila","Oulu","200000","75378","qPCR C","","Detected","43890"
"2024-05-06","Alakorkalo","Rovaniemi","55000","35222","qPCR C","","Detected","26256"
"2024-05-06","Viinikanlahti","Tampere","200000","77307","qPCR C","","Detected","24866"
"2024-05-06","Kakolanmäki","Turku","300000","79719","qPCR C","","Detected","34739"
"2024-05-06","Pått","Vaasa","69500","20140","qPCR C","","Detected","9577"
"2024-04-22","Aggregated","Aggregated","","","qPCR C","","","21650"
"2024-04-22","Blominmäki","Espoo","390000","114011","qPCR C","","Detected","28700"
"2024-04-22","Viikinmäki","Helsinki","910000","302028","qPCR C","","Detected","22125"
"2024-04-22","Kuhasalo","Joensuu","98000","26636","qPCR C","","Detected","10824"
"2024-04-22","Nenäinniemi","Jyväskylä","154600","46117","qPCR C","","Detected","11842"
"2024-04-22","Lehtoniemi","Kuopio","95400","24596","qPCR C","","Detected","10298"
"2024-04-22","Taskila","Oulu","200000","59116","qPCR C","","Detected","61207"
"2024-04-22","Alakorkalo","Rovaniemi","55000","17073","qPCR C","","Detected","24249"
"2024-04-22","Viinikanlahti","Tampere","200000","85819","qPCR C","","Detected","22375"
"2024-04-22","Kakolanmäki","Turku","300000","93292","qPCR C","","Detected","2222"
"2024-04-22","Pått","Vaasa","69500","20872","qPCR C","","Detected","12165"
"2024-04-08","Aggregated","Aggregated","","","qPCR C","","","19315"
"2024-04-08","Blominmäki","Espoo","390000","152231","qPCR C","","Detected","21693"
"2024-04-08","Viikinmäki","Helsinki","910000","416716","qPCR C","","Detected","25668"
"2024-04-08","Kuhasalo","Joensuu","98000","26380","qPCR C","","Detected","11945"
"2024-04-08","Nenäinniemi","Jyväskylä","154600","49321","qPCR C","","Detected","13925"
"2024-04-08","Lehtoniemi","Kuopio","95400","20329","qPCR C","","Detected","7940"
"2024-04-08","Taskila","Oulu","200000","47503","qPCR C","","Detected","13979"
"2024-04-08","Alakorkalo","Rovaniemi","55000","13252","qPCR C","","Detected","15195"
"2024-04-08","Viinikanlahti","Tampere","200000","92054","qPCR C","","Detected","14645"
"2024-04-08","Kakolanmäki","Turku","300000","117273","qPCR C","","Detected","17577"
"2024-04-08","Pått","Vaasa","69500","38667","qPCR C","","Detected (low volume)",""
"2024-04-02","Blominmäki","Espoo","390000","150795","qPCR C","","Detected","114078"
"2024-04-02","Viikinmäki","Helsinki","910000","362880","qPCR C","","Detected","51554"
"2024-04-02","Kuhasalo","Joensuu","98000","25821","qPCR C","","Detected","14990"
"2024-04-02","Nenäinniemi","Jyväskylä","154600","56870","qPCR C","","Detected","30114"
"2024-04-02","Lehtoniemi","Kuopio","95400","20765","qPCR C","","Detected","27686"
"2024-04-02","Taskila","Oulu","200000","49884","qPCR C","","Detected","102832"
"2024-04-02","Alakorkalo","Rovaniemi","55000","12473","qPCR C","","Detected","294719"
"2024-04-02","Viinikanlahti","Tampere","200000","104156","qPCR C","","Detected","35763"
"2024-04-02","Kakolanmäki","Turku","300000","141673","qPCR C","","Detected","23573"
"2024-04-02","Pått","Vaasa","69500","30156","qPCR C","","Detected","7946"
"2024-04-01","Aggregated","Aggregated","","","qPCR C","","","53207"
"2024-03-25","Aggregated","Aggregated","","","qPCR C","","","25089"
"2024-03-25","Blominmäki","Espoo","390000","167441","qPCR C","","Detected","106927"
"2024-03-25","Viikinmäki","Helsinki","910000","444141","qPCR C","","Detected","36032"
"2024-03-25","Kuhasalo","Joensuu","98000","18931","qPCR C","","Detected","18549"
"2024-03-25","Nenäinniemi","Jyväskylä","154600","40774","qPCR C","","Detected","83691"
"2024-03-25","Lehtoniemi","Kuopio","95400","17533","qPCR C","","Detected","15543"
"2024-03-25","Toikansuo","Lappeenranta","63000","20650","qPCR C","","Detected","8701"
"2024-03-25","Taskila","Oulu","200000","44050","qPCR C","","Detected","17074"
"2024-03-25","Alakorkalo","Rovaniemi","55000","13319","qPCR C","","Detected","20217"
"2024-03-25","Viinikanlahti","Tampere","200000","94522","qPCR C","","Detected","17446"
"2024-03-25","Kakolanmäki","Turku","300000","125261","qPCR C","","Detected","12539"
"2024-03-25","Pått","Vaasa","69500","21009","qPCR C","","Detected","7228"
"2024-03-18","Aggregated","Aggregated","","","qPCR C","","","11654"
"2024-03-18","Blominmäki","Espoo","390000","235234","qPCR C","","Detected","33823"
"2024-03-18","Viikinmäki","Helsinki","910000","513283","qPCR C","","Detected (low volume)",""
"2024-03-18","Kuhasalo","Joensuu","98000","22632","qPCR C","","Detected","15586"
"2024-03-18","Nenäinniemi","Jyväskylä","154600","54578","qPCR C","","Detected","15270"
"2024-03-18","Lehtoniemi","Kuopio","95400","21929","qPCR C","","Detected","12164"
"2024-03-18","Taskila","Oulu","200000","41605","qPCR C","","Detected","14965"
"2024-03-18","Alakorkalo","Rovaniemi","55000","15338","qPCR C","","Detected","34179"
"2024-03-18","Viinikanlahti","Tampere","200000","124717","qPCR C","","Detected","31716"
"2024-03-18","Kakolanmäki","Turku","300000","166185","qPCR C","","Detected","21180"
"2024-03-18","Pått","Vaasa","69500","25358","qPCR C","","Detected","9413"
"2024-03-12","Pått","Vaasa","69500","18682","qPCR C","","Detected","6314"
"2024-03-11","Aggregated","Aggregated","","","qPCR C","","","17237"
"2024-03-11","Blominmäki","Espoo","390000","111198","qPCR C","","Detected","24500"
"2024-03-11","Viikinmäki","Helsinki","910000","270534","qPCR C","","Detected","21018"
"2024-03-11","Kuhasalo","Joensuu","98000","15790","qPCR C","","Detected","14580"
"2024-03-11","Nenäinniemi","Jyväskylä","154600","33464","qPCR C","","Detected","18953"
"2024-03-11","Lehtoniemi","Kuopio","95400","12837","qPCR C","","Detected","21116"
"2024-03-11","Taskila","Oulu","200000","37898","qPCR C","","Detected","23372"
"2024-03-11","Alakorkalo","Rovaniemi","55000","15648","qPCR C","","Detected","54255"
"2024-03-11","Viinikanlahti","Tampere","200000","72070","qPCR C","","Detected (low volume)",""
"2024-03-11","Kakolanmäki","Turku","300000","84002","qPCR C","","Detected","7821"
"2024-03-04","Aggregated","Aggregated","","","qPCR C","","","11755"
"2024-03-04","Blominmäki","Espoo","390000","128128","qPCR C","","Detected","11619"
"2024-03-04","Viikinmäki","Helsinki","910000","331476","qPCR C","","Detected","12332"
"2024-03-04","Kuhasalo","Joensuu","98000","15435","qPCR C","","Detected","16386"
"2024-03-04","Nenäinniemi","Jyväskylä","154600","34221","qPCR C","","Detected","13368"
"2024-03-04","Lehtoniemi","Kuopio","95400","13723","qPCR C","","Detected","4781"
"2024-03-04","Taskila","Oulu","200000","46221","qPCR C","","Detected","16713"
"2024-03-04","Alakorkalo","Rovaniemi","55000","16202","qPCR C","","Detected","76688"
"2024-03-04","Viinikanlahti","Tampere","200000","77256","qPCR C","","Detected","7105"
"2024-03-04","Kakolanmäki","Turku","300000","130960","qPCR C","","Detected (low volume)",""
"2024-03-04","Pått","Vaasa","69500","21566","qPCR C","","Not detected",""
"2024-02-26","Aggregated","Aggregated","","","qPCR C","","","15011"
"2024-02-26","Blominmäki","Espoo","390000","223098","qPCR C","b","Detected","16987"
"2024-02-26","Viikinmäki","Helsinki","910000","542336","qPCR C","","Detected (low volume)",""
"2024-02-26","Kuhasalo","Joensuu","98000","17678","qPCR C","","Detected","28932"
"2024-02-26","Nenäinniemi","Jyväskylä","154600","35553","qPCR C","","Detected","40999"
"2024-02-26","Lehtoniemi","Kuopio","95400","15300","qPCR C","","Detected","14344"
"2024-02-26","Toikansuo","Lappeenranta","63000","30289","qPCR C","b","Detected","35999"
